date,district,crime_type,count,latitude,longitude
2022-01-07,Mumbai,Burglary,5,34.06673534077157,-118.2544089249806
2022-01-08,Mumbai,Theft,24,34.05693237624573,-118.24442828912656
2022-01-08,Mumbai,Assault,11,34.05278208718446,-118.25512970297832
2022-01-08,Mumbai,Vandalism,15,34.06303051243175,-118.23316197947966
2022-01-08,Mumbai,Burglary,13,34.04447174785462,-118.2460681860674
2022-01-09,Mumbai,Theft,15,34.05301874139386,-118.23683739809626
2022-01-09,Mumbai,Assault,3,34.0360728412881,-118.24305719980904
2022-01-09,Mumbai,Vandalism,8,34.04142255222071,-118.2435485672174
2022-01-09,Mumbai,Burglary,4,34.05662074016867,-118.2386501272102
2022-01-10,Mumbai,Theft,14,34.04745054688839,-118.25023329232576
2022-01-10,Mumbai,Assault,11,34.05663819428146,-118.23595365946572
2022-01-10,Mumbai,Vandalism,9,34.06661273289066,-118.2580586215118
2022-01-10,Mumbai,Burglary,4,34.05017542474168,-118.24309103392883
2022-01-11,Mumbai,Theft,16,34.05346094827824,-118.24985133677772
2022-01-11,Mumbai,Assault,7,34.073313176416164,-118.24856432766052
2022-01-11,Mumbai,Vandalism,7,34.05427598261286,-118.24007986088058
2022-01-11,Mumbai,Burglary,7,34.05801314134035,-118.25039202728182
2022-01-12,Mumbai,Theft,15,34.04812084647229,-118.24108376944028
2022-01-12,Mumbai,Assault,8,34.05544166352488,-118.24500143054368
2022-01-12,Mumbai,Vandalism,12,34.031299822513695,-118.22599568483432
2022-01-12,Mumbai,Burglary,5,34.04786696593097,-118.24166177272473
2022-01-13,Mumbai,Theft,8,34.060925415914305,-118.23215645661593
2022-01-13,Mumbai,Assault,9,34.047426182694245,-118.24672324242076
2022-01-13,Mumbai,Vandalism,6,34.052154371710095,-118.24478760148456
2022-01-13,Mumbai,Burglary,4,34.05621711722099,-118.24300347335482
2022-01-14,Mumbai,Theft,15,34.04788057798392,-118.22510032993512
2022-01-14,Mumbai,Assault,9,34.05062276041746,-118.25725057955518
2022-01-14,Mumbai,Vandalism,15,34.05920242953362,-118.24502299443942
2022-01-14,Mumbai,Burglary,2,34.06399440120721,-118.24839175652104
2022-01-15,Mumbai,Theft,17,34.06573872374165,-118.25964427658796
2022-01-15,Mumbai,Assault,10,34.046206249770464,-118.25738590115542
2022-01-15,Mumbai,Vandalism,12,34.057554918099754,-118.23724624050416
2022-01-15,Mumbai,Burglary,3,34.06588631557532,-118.23311575513152
2022-01-16,Mumbai,Theft,12,34.04950593165555,-118.23652457744204
2022-01-16,Mumbai,Assault,9,34.056040654489394,-118.24402694748096
2022-01-16,Mumbai,Vandalism,5,34.055865982460965,-118.25309879786327
2022-01-16,Mumbai,Burglary,5,34.04689742381628,-118.25162872832264
2022-01-17,Mumbai,Theft,10,34.04184757677581,-118.22405274867084
2022-01-17,Mumbai,Assault,6,34.05255263551972,-118.235186457354
2022-01-17,Mumbai,Vandalism,9,34.045996362774645,-118.23518597907622
2022-01-17,Mumbai,Burglary,5,34.042320641542034,-118.2518050584698
2022-01-18,Mumbai,Theft,11,34.04158737367053,-118.25024373346112
2022-01-18,Mumbai,Assault,7,34.07594329403492,-118.23355467307312
2022-01-18,Mumbai,Vandalism,9,34.04858577160573,-118.24608493367384
2022-01-18,Mumbai,Burglary,2,34.04627606075761,-118.2523399076968
2022-01-19,Mumbai,Theft,8,34.043890498835886,-118.24946771330568
2022-01-19,Mumbai,Assault,8,34.05975391225826,-118.24090242650212
2022-01-19,Mumbai,Vandalism,7,34.024790451555404,-118.24518551405008
2022-01-19,Mumbai,Burglary,3,34.04812539862365,-118.24971968678896
2022-01-20,Mumbai,Theft,17,34.04496660917549,-118.21936151921598
2022-01-20,Mumbai,Assault,9,34.05708044079379,-118.22789865904925
2022-01-20,Mumbai,Vandalism,9,34.04949796681322,-118.2342238306234
2022-01-20,Mumbai,Burglary,7,34.049808213339695,-118.23546895024256
2022-01-21,Mumbai,Theft,17,34.053156204458894,-118.2420480561988
2022-01-21,Mumbai,Assault,8,34.057889366744696,-118.23539664183455
2022-01-21,Mumbai,Vandalism,8,34.04363916174091,-118.2308302503615
2022-01-21,Mumbai,Burglary,7,34.047753624417545,-118.25428385402849
2022-01-22,Mumbai,Theft,22,34.04329156657549,-118.26694719661452
2022-01-22,Mumbai,Assault,6,34.053293947946045,-118.23644233376102
2022-01-22,Mumbai,Vandalism,14,34.07758691101738,-118.23846047332891
2022-01-22,Mumbai,Burglary,4,34.042078956247394,-118.26024856671866
2022-01-23,Mumbai,Theft,16,34.05293317967188,-118.2470578469929
2022-01-23,Mumbai,Assault,8,34.06889021525289,-118.25387192170544
2022-01-23,Mumbai,Vandalism,20,34.05736669308648,-118.25169110570826
2022-01-23,Mumbai,Burglary,7,34.0505546434195,-118.2180007316031
2022-01-24,Mumbai,Theft,11,34.03141623345081,-118.25610640077689
2022-01-24,Mumbai,Assault,6,34.04109424154534,-118.22617729556576
2022-01-24,Mumbai,Vandalism,4,34.045155298965405,-118.25098315149948
2022-01-24,Mumbai,Burglary,2,34.0469547973372,-118.23880625438773
2022-01-25,Mumbai,Theft,6,34.059329984301726,-118.23659040031797
2022-01-25,Mumbai,Assault,6,34.05664263311486,-118.26039779172068
2022-01-25,Mumbai,Vandalism,9,34.069846869342626,-118.26123469416252
2022-01-25,Mumbai,Burglary,7,34.04675077765041,-118.22214760461569
2022-01-26,Mumbai,Theft,12,34.03931552620243,-118.24269182577748
2022-01-26,Mumbai,Assault,3,34.035904070140234,-118.23818136344693
2022-01-26,Mumbai,Vandalism,5,34.06840533445166,-118.2279950536474
2022-01-26,Mumbai,Burglary,6,34.05737659020469,-118.25095743813154
2022-01-27,Mumbai,Theft,11,34.044646170676465,-118.25293233246111
2022-01-27,Mumbai,Assault,8,34.03868315394384,-118.23762433135668
2022-01-27,Mumbai,Vandalism,6,34.037008200170135,-118.24404988490495
2022-01-27,Mumbai,Burglary,8,34.06990800635636,-118.2568934788914
2022-01-28,Mumbai,Theft,14,34.06036698517713,-118.2375133804029
2022-01-28,Mumbai,Assault,8,34.056496182191324,-118.24162312312838
2022-01-28,Mumbai,Vandalism,10,34.04754549817596,-118.23483482587432
2022-01-28,Mumbai,Burglary,3,34.04177515125773,-118.23092073170764
2022-01-29,Mumbai,Theft,13,34.053549847208195,-118.25020584841558
2022-01-29,Mumbai,Assault,6,34.06263545909287,-118.24287716010726
2022-01-29,Mumbai,Vandalism,16,34.06285480375065,-118.25376115893084
2022-01-29,Mumbai,Burglary,2,34.04169088042172,-118.24404684887388
2022-01-30,Mumbai,Theft,15,34.062043223984766,-118.24583988844226
2022-01-30,Mumbai,Assault,11,34.045968594735754,-118.2492547711916
2022-01-30,Mumbai,Vandalism,13,34.0664050424799,-118.2494074629375
2022-01-30,Mumbai,Burglary,6,34.04379889921417,-118.24205302172564
2022-01-31,Mumbai,Theft,21,34.05803800376156,-118.2382650089721
2022-01-31,Mumbai,Assault,5,34.06303609653905,-118.25210908798049
2022-01-31,Mumbai,Vandalism,9,34.0521172192545,-118.26009396267663
2022-01-31,Mumbai,Burglary,11,34.056825485526474,-118.24740323368596
2022-02-01,Mumbai,Theft,13,34.05638252554786,-118.23969587970764
2022-02-01,Mumbai,Assault,1,34.06037752695876,-118.2585939305965
2022-02-01,Mumbai,Vandalism,10,34.058278965097166,-118.24183390876844
2022-02-01,Mumbai,Burglary,3,34.0629363174986,-118.25396515299413
2022-02-02,Mumbai,Theft,10,34.04519879185061,-118.24928921847273
2022-02-02,Mumbai,Assault,2,34.055972118750645,-118.24501038407
2022-02-02,Mumbai,Vandalism,10,34.031847597593746,-118.24126199286228
2022-02-02,Mumbai,Burglary,5,34.04655921369263,-118.22523363003953
2022-02-03,Mumbai,Theft,9,34.051744139836444,-118.24126660550678
2022-02-03,Mumbai,Assault,3,34.0396846057581,-118.22926235395929
2022-02-03,Mumbai,Vandalism,11,34.05416521169701,-118.23660996242413
2022-02-03,Mumbai,Burglary,3,34.045436076979406,-118.2256905956709
2022-02-04,Mumbai,Theft,9,34.03789224897882,-118.24816183433217
2022-02-04,Mumbai,Assault,1,34.03330459269054,-118.2482230631925
2022-02-04,Mumbai,Vandalism,7,34.02796120673371,-118.24373602539092
2022-02-04,Mumbai,Burglary,3,34.04061635310807,-118.24161617192053
2022-02-05,Mumbai,Theft,5,34.04218379990105,-118.24651100292888
2022-02-05,Mumbai,Assault,5,34.06619355436586,-118.23445366317088
2022-02-05,Mumbai,Vandalism,3,34.059182233136134,-118.2397651461458
2022-02-05,Mumbai,Burglary,4,34.05334533366215,-118.23419854529
2022-02-06,Mumbai,Theft,16,34.06537278226731,-118.24739521616824
2022-02-06,Mumbai,Assault,4,34.054245493960906,-118.23847164511965
2022-02-06,Mumbai,Vandalism,11,34.04646299996061,-118.24627376537424
2022-02-06,Mumbai,Burglary,7,34.035514159261226,-118.2414554818144
2022-02-07,Mumbai,Theft,13,34.062986808334315,-118.24408508469502
2022-02-07,Mumbai,Assault,9,34.05714030186282,-118.24109326234176
2022-02-07,Mumbai,Vandalism,9,34.06368765700372,-118.2610971377878
2022-02-07,Mumbai,Burglary,5,34.04752298798688,-118.2402349611827
2022-02-08,Mumbai,Theft,9,34.05697040827223,-118.2429317810894
2022-02-08,Mumbai,Assault,6,34.039370077758115,-118.23522920990015
2022-02-08,Mumbai,Vandalism,8,34.06442500914887,-118.23642370456363
2022-02-08,Mumbai,Burglary,1,34.05271945885807,-118.23637359922785
2022-02-09,Mumbai,Theft,10,34.061363276747024,-118.24023511524102
2022-02-09,Mumbai,Assault,5,34.063281828167376,-118.25409905927124
2022-02-09,Mumbai,Vandalism,7,34.06090067730689,-118.23874318112028
2022-02-09,Mumbai,Burglary,6,34.05417565990172,-118.2392077156508
2022-02-10,Mumbai,Theft,12,34.05888407960942,-118.25141628322416
2022-02-10,Mumbai,Assault,7,34.05516628319676,-118.23805597012108
2022-02-10,Mumbai,Vandalism,9,34.05575550629674,-118.25648022583437
2022-02-10,Mumbai,Burglary,4,34.035762592844115,-118.22727984839864
2022-02-11,Mumbai,Theft,15,34.06201765486991,-118.24694831383508
2022-02-11,Mumbai,Assault,4,34.066653846895825,-118.26194069873894
2022-02-11,Mumbai,Vandalism,8,34.059789285897864,-118.2408880857603
2022-02-11,Mumbai,Burglary,4,34.051863134730915,-118.25320348183102
2022-02-12,Mumbai,Theft,11,34.042357276247074,-118.26282103161086
2022-02-12,Mumbai,Assault,5,34.056168386658484,-118.25339199610316
2022-02-12,Mumbai,Vandalism,9,34.057710373022424,-118.23898038666754
2022-02-12,Mumbai,Burglary,6,34.053592154086445,-118.25613863235392
2022-02-13,Mumbai,Theft,16,34.04925050321708,-118.23122257927326
2022-02-13,Mumbai,Assault,6,34.04865892358552,-118.23916462166255
2022-02-13,Mumbai,Vandalism,5,34.06679493603384,-118.26055310938764
2022-02-13,Mumbai,Burglary,6,34.05788983079185,-118.22741603376872
2022-02-14,Mumbai,Theft,8,34.050164196398974,-118.25019277545069
2022-02-14,Mumbai,Assault,2,34.039960597332374,-118.24991818300506
2022-02-14,Mumbai,Vandalism,12,34.059213730648395,-118.2381167308748
2022-02-14,Mumbai,Burglary,3,34.05296005391412,-118.24481226061349
2022-02-15,Mumbai,Theft,13,34.06311310120594,-118.23760861879092
2022-02-15,Mumbai,Assault,8,34.04470820759371,-118.24144657246312
2022-02-15,Mumbai,Vandalism,6,34.04434010539492,-118.25701232953558
2022-02-15,Mumbai,Burglary,3,34.04116633393826,-118.26522890592952
2022-02-16,Mumbai,Theft,19,34.077129995174325,-118.24288170641452
2022-02-16,Mumbai,Assault,7,34.051211103468084,-118.2383349015643
2022-02-16,Mumbai,Vandalism,11,34.043215320182085,-118.25435113663076
2022-02-16,Mumbai,Burglary,2,34.04914775295645,-118.23862242329687
2022-02-17,Mumbai,Theft,11,34.023317287948075,-118.24076730685869
2022-02-17,Mumbai,Assault,5,34.04531333245037,-118.24432656956203
2022-02-17,Mumbai,Vandalism,6,34.04606597336459,-118.24672469686487
2022-02-17,Mumbai,Burglary,5,34.06169554135441,-118.2585489796845
2022-02-18,Mumbai,Theft,9,34.06154319911239,-118.24946510400729
2022-02-18,Mumbai,Assault,1,34.02628957707855,-118.24916244448252
2022-02-18,Mumbai,Vandalism,2,34.056118040054024,-118.25364106233044
2022-02-18,Mumbai,Burglary,3,34.051890610028444,-118.25563059954912
2022-02-19,Mumbai,Theft,12,34.02917303010455,-118.24814945760124
2022-02-19,Mumbai,Assault,11,34.051316573409906,-118.23448650397016
2022-02-19,Mumbai,Vandalism,11,34.05456961415712,-118.2482482031589
2022-02-19,Mumbai,Burglary,2,34.038728737104705,-118.25341614038511
2022-02-20,Mumbai,Theft,18,34.04563105721029,-118.23184295845336
2022-02-20,Mumbai,Assault,4,34.059389533106646,-118.23762868899216
2022-02-20,Mumbai,Vandalism,9,34.06531158886318,-118.24088820437731
2022-02-20,Mumbai,Burglary,8,34.04294379150225,-118.22841531573587
2022-02-21,Mumbai,Theft,16,34.04855047270457,-118.2520920966734
2022-02-21,Mumbai,Assault,8,34.054304705415305,-118.24534563071008
2022-02-21,Mumbai,Vandalism,14,34.05619687951753,-118.25021356893792
2022-02-21,Mumbai,Burglary,8,34.07031375028665,-118.237464511431
2022-02-22,Mumbai,Theft,15,34.06120228658915,-118.24620468038992
2022-02-22,Mumbai,Assault,6,34.0520037651419,-118.2270009549565
2022-02-22,Mumbai,Vandalism,5,34.056146715298226,-118.25154898313085
2022-02-22,Mumbai,Burglary,4,34.05868280433844,-118.25187185466608
2022-02-23,Mumbai,Theft,6,34.0369434368543,-118.23107415896573
2022-02-23,Mumbai,Assault,5,34.06762109952568,-118.2236390711184
2022-02-23,Mumbai,Vandalism,7,34.05049815377475,-118.24823228049328
2022-02-23,Mumbai,Burglary,5,34.04503177679397,-118.26236536617074
2022-02-24,Mumbai,Theft,13,34.050982524916165,-118.2539418682433
2022-02-24,Mumbai,Assault,7,34.070740925663344,-118.24858849421788
2022-02-24,Mumbai,Vandalism,2,34.04100382566711,-118.24897776864246
2022-02-24,Mumbai,Burglary,6,34.05991438991916,-118.23856399893432
2022-02-25,Mumbai,Theft,11,34.05192485094949,-118.22597748403332
2022-02-25,Mumbai,Assault,5,34.059860802783845,-118.23143066776116
2022-02-25,Mumbai,Vandalism,4,34.05575022454421,-118.24591113095288
2022-02-25,Mumbai,Burglary,5,34.04693921967788,-118.24384019538256
2022-02-26,Mumbai,Theft,13,34.04088973608508,-118.24122922622196
2022-02-26,Mumbai,Assault,7,34.05307331057915,-118.25480399517296
2022-02-26,Mumbai,Vandalism,8,34.05787055517388,-118.24169430802768
2022-02-26,Mumbai,Burglary,4,34.063686373494285,-118.23990517942836
2022-02-27,Mumbai,Theft,10,34.03953659494374,-118.24427983947432
2022-02-27,Mumbai,Assault,11,34.04591515136104,-118.2376752279056
2022-02-27,Mumbai,Vandalism,8,34.06381933813456,-118.25138364947314
2022-02-27,Mumbai,Burglary,9,34.051589565745296,-118.25105858449324
2022-02-28,Mumbai,Theft,12,34.061012847814325,-118.23331611244264
2022-02-28,Mumbai,Assault,9,34.05725424093217,-118.2360460978583
2022-02-28,Mumbai,Vandalism,9,34.05028178541793,-118.2491650739451
2022-02-28,Mumbai,Burglary,5,34.04704282930067,-118.24178479036136
2022-03-01,Mumbai,Theft,13,34.0403098871762,-118.24625251942102
2022-03-01,Mumbai,Assault,3,34.044146281729496,-118.2377355766044
2022-03-01,Mumbai,Vandalism,12,34.06060620026504,-118.238232664318
2022-03-01,Mumbai,Burglary,2,34.04557286228137,-118.2639967386774
2022-03-02,Mumbai,Theft,14,34.06477059956689,-118.24473023201398
2022-03-02,Mumbai,Assault,6,34.06445132348168,-118.24086712128454
2022-03-02,Mumbai,Vandalism,8,34.04961095026296,-118.23341317389304
2022-03-02,Mumbai,Burglary,9,34.03903251153178,-118.26074878554132
2022-03-03,Mumbai,Theft,7,34.049981390962046,-118.23948315531736
2022-03-03,Mumbai,Assault,5,34.06108662753551,-118.24896755432655
2022-03-03,Mumbai,Vandalism,5,34.03334799947979,-118.24666267443509
2022-03-03,Mumbai,Burglary,3,34.05648312962473,-118.23470864286313
2022-03-04,Mumbai,Theft,9,34.05434450833972,-118.2363569532444
2022-03-04,Mumbai,Assault,5,34.0457066868808,-118.24022469623844
2022-03-04,Mumbai,Vandalism,9,34.06383508767955,-118.22895943947512
2022-03-04,Mumbai,Burglary,8,34.048679869251465,-118.2461606248813
2022-03-05,Mumbai,Theft,12,34.05343204806785,-118.2381851462396
2022-03-05,Mumbai,Assault,5,34.04608230909095,-118.2440703679705
2022-03-05,Mumbai,Vandalism,7,34.05302439752934,-118.25827551499464
2022-03-06,Mumbai,Theft,16,34.04642469906492,-118.23992649297236
2022-03-06,Mumbai,Assault,5,34.050395102110684,-118.24388558005766
2022-03-06,Mumbai,Vandalism,14,34.0629614631264,-118.24853061051684
2022-03-06,Mumbai,Burglary,4,34.05366793011986,-118.2520229388312
2022-03-07,Mumbai,Theft,5,34.05731924091029,-118.24538308233964
2022-03-07,Mumbai,Assault,4,34.05928214423256,-118.24136783868737
2022-03-07,Mumbai,Vandalism,5,34.04076273792679,-118.24261440294224
2022-03-08,Mumbai,Theft,8,34.04574430571351,-118.25016227309844
2022-03-08,Mumbai,Assault,7,34.06995310892609,-118.24504308741471
2022-03-08,Mumbai,Vandalism,7,34.060308082731595,-118.25475704668486
2022-03-08,Mumbai,Burglary,3,34.05005078969711,-118.2305969125388
2022-03-09,Mumbai,Theft,11,34.03536561807779,-118.25175870066496
2022-03-09,Mumbai,Assault,8,34.05225492550243,-118.24845705263732
2022-03-09,Mumbai,Vandalism,4,34.04961203937333,-118.22771352829496
2022-03-09,Mumbai,Burglary,6,34.03680333480727,-118.2585627702995
2022-03-10,Mumbai,Theft,8,34.031810387229946,-118.22797185359084
2022-03-10,Mumbai,Assault,5,34.05470452407728,-118.25631454833656
2022-03-10,Mumbai,Vandalism,11,34.04354960773651,-118.2240930872784
2022-03-10,Mumbai,Burglary,2,34.06347358243175,-118.21725656652984
2022-03-11,Mumbai,Theft,13,34.05597100393902,-118.24399262813684
2022-03-11,Mumbai,Assault,5,34.04624338705956,-118.22995561906828
2022-03-11,Mumbai,Vandalism,11,34.05025091719647,-118.23236229903134
2022-03-11,Mumbai,Burglary,4,34.07553244404285,-118.241777173256
2022-03-12,Mumbai,Theft,20,34.0497858558958,-118.24779960503854
2022-03-12,Mumbai,Assault,5,34.044729219206985,-118.24905613338426
2022-03-12,Mumbai,Vandalism,13,34.060766171046254,-118.2378549678388
2022-03-12,Mumbai,Burglary,4,34.05669655906626,-118.25045178274976
2022-03-13,Mumbai,Theft,12,34.03326385333046,-118.24156706292628
2022-03-13,Mumbai,Assault,4,34.0505863562699,-118.25079572292954
2022-03-13,Mumbai,Vandalism,9,34.05298896096598,-118.24346861276902
2022-03-13,Mumbai,Burglary,6,34.070205111815106,-118.23131053647062
2022-03-14,Mumbai,Theft,9,34.04728363814368,-118.23893642230644
2022-03-14,Mumbai,Assault,6,34.05725470159167,-118.2403476131293
2022-03-14,Mumbai,Vandalism,3,34.042725078650264,-118.24996190032222
2022-03-14,Mumbai,Burglary,2,34.05235378981372,-118.23544901735332
2022-03-15,Mumbai,Theft,8,34.038741290765266,-118.25189257859722
2022-03-15,Mumbai,Assault,8,34.051544523932186,-118.223883081936
2022-03-15,Mumbai,Vandalism,3,34.05742243681248,-118.25186403986102
2022-03-15,Mumbai,Burglary,6,34.05835771149771,-118.23166115562832
2022-03-16,Mumbai,Theft,19,34.047698107351486,-118.25813854816134
2022-03-16,Mumbai,Assault,3,34.029238190468625,-118.24823248409024
2022-03-16,Mumbai,Vandalism,10,34.06672467534471,-118.23095408124706
2022-03-16,Mumbai,Burglary,4,34.060300623040526,-118.24698618475747
2022-03-17,Mumbai,Theft,11,34.05260919175396,-118.25372187455784
2022-03-17,Mumbai,Assault,3,34.0499140008466,-118.25364349374608
2022-03-17,Mumbai,Vandalism,5,34.05242465892812,-118.23822880884823
2022-03-17,Mumbai,Burglary,6,34.049823048753105,-118.24177765235804
2022-03-18,Mumbai,Theft,13,34.04477770479808,-118.23381330830642
2022-03-18,Mumbai,Assault,8,34.03868554235108,-118.2447325476015
2022-03-18,Mumbai,Vandalism,10,34.03576811188846,-118.25032130845467
2022-03-18,Mumbai,Burglary,4,34.046221916135146,-118.23871778251504
2022-03-19,Mumbai,Theft,14,34.044091424887895,-118.25627577858916
2022-03-19,Mumbai,Assault,7,34.0438485709837,-118.22280461278304
2022-03-19,Mumbai,Vandalism,9,34.030081380886706,-118.22836566298704
2022-03-19,Mumbai,Burglary,3,34.04790755579701,-118.2378144673023
2022-03-20,Mumbai,Theft,10,34.05682172666082,-118.2418029383239
2022-03-20,Mumbai,Assault,10,34.04558017822203,-118.25331488369656
2022-03-20,Mumbai,Vandalism,6,34.060508523242795,-118.2562040773397
2022-03-20,Mumbai,Burglary,4,34.05824515326356,-118.24389749093535
2022-03-21,Mumbai,Theft,12,34.04462007777481,-118.25936349732964
2022-03-21,Mumbai,Assault,5,34.05467511916576,-118.24219594561823
2022-03-21,Mumbai,Vandalism,8,34.05234273067836,-118.25323939419395
2022-03-21,Mumbai,Burglary,1,34.04812963687073,-118.23683681543044
2022-03-22,Mumbai,Theft,11,34.05804412980472,-118.22752787425031
2022-03-22,Mumbai,Assault,9,34.05324355937523,-118.25622393444414
2022-03-22,Mumbai,Vandalism,4,34.05583631882625,-118.24358858436952
2022-03-22,Mumbai,Burglary,7,34.059296412905056,-118.24260529395951
2022-03-23,Mumbai,Theft,10,34.0591023680038,-118.26928368383255
2022-03-23,Mumbai,Assault,4,34.05899373282956,-118.2551879403516
2022-03-23,Mumbai,Vandalism,13,34.069588996637975,-118.2339114194922
2022-03-23,Mumbai,Burglary,3,34.056383982208885,-118.22968401407054
2022-03-24,Mumbai,Theft,10,34.037169196982404,-118.24753971271952
2022-03-24,Mumbai,Assault,12,34.05470200206251,-118.2490595914541
2022-03-24,Mumbai,Vandalism,12,34.05760024231617,-118.24663966947664
2022-03-24,Mumbai,Burglary,1,34.05148400748142,-118.25887873746682
2022-03-25,Mumbai,Theft,4,34.05918828420202,-118.2394902705561
2022-03-25,Mumbai,Assault,4,34.04102858673124,-118.25382094885798
2022-03-25,Mumbai,Vandalism,8,34.048507228607534,-118.2422661153266
2022-03-25,Mumbai,Burglary,3,34.03697640813782,-118.23257311625012
2022-03-26,Mumbai,Theft,10,34.06753727709916,-118.2548652443995
2022-03-26,Mumbai,Assault,6,34.06455811620007,-118.22849660762692
2022-03-26,Mumbai,Vandalism,5,34.04725219054233,-118.25698314951464
2022-03-26,Mumbai,Burglary,6,34.05297473718737,-118.2586652925509
2022-03-27,Mumbai,Theft,9,34.042981401868744,-118.25373957372082
2022-03-27,Mumbai,Assault,6,34.05417327262595,-118.25182727956918
2022-03-27,Mumbai,Vandalism,5,34.06409911397241,-118.23356324259456
2022-03-27,Mumbai,Burglary,6,34.0577147627524,-118.240294107836
2022-03-28,Mumbai,Theft,14,34.03893527871689,-118.24599390744068
2022-03-28,Mumbai,Assault,9,34.05176523050186,-118.24393552150876
2022-03-28,Mumbai,Vandalism,7,34.05045645742097,-118.22620416095796
2022-03-28,Mumbai,Burglary,3,34.0660145407869,-118.24075775870988
2022-03-29,Mumbai,Theft,13,34.04436234334413,-118.25060541052316
2022-03-29,Mumbai,Assault,3,34.05902052065713,-118.22882753844664
2022-03-29,Mumbai,Vandalism,11,34.044567138958215,-118.24332062164552
2022-03-29,Mumbai,Burglary,5,34.05523818595605,-118.23648437494874
2022-03-30,Mumbai,Theft,12,34.06673260663321,-118.2497586082076
2022-03-30,Mumbai,Assault,6,34.069393779062075,-118.2506038662614
2022-03-30,Mumbai,Vandalism,7,34.05224093007676,-118.23827295602024
2022-03-30,Mumbai,Burglary,4,34.041811402102134,-118.25455150526558
2022-03-31,Mumbai,Theft,10,34.03868925633792,-118.25692457956744
2022-03-31,Mumbai,Assault,10,34.0628487673929,-118.26510265878778
2022-03-31,Mumbai,Vandalism,9,34.04232191165412,-118.23835221454196
2022-03-31,Mumbai,Burglary,2,34.061958167193445,-118.23451545556058
2022-04-01,Mumbai,Theft,5,34.05274934111,-118.2507957985475
2022-04-01,Mumbai,Assault,4,34.039614950893245,-118.24516086821532
2022-04-01,Mumbai,Vandalism,7,34.04627073466952,-118.23284073303678
2022-04-01,Mumbai,Burglary,4,34.06275218851331,-118.25383895952292
2022-04-02,Mumbai,Theft,16,34.043246536776365,-118.2477810083916
2022-04-02,Mumbai,Assault,7,34.0784079309103,-118.25481967025776
2022-04-02,Mumbai,Vandalism,10,34.04981087158016,-118.2293984436344
2022-04-02,Mumbai,Burglary,5,34.04944297807079,-118.23429303856176
2022-04-03,Mumbai,Theft,8,34.05264267973349,-118.24563949400444
2022-04-03,Mumbai,Assault,8,34.04556695678225,-118.2497474466454
2022-04-03,Mumbai,Vandalism,7,34.03014433942901,-118.2377120561044
2022-04-03,Mumbai,Burglary,8,34.05888340488718,-118.23295752766056
2022-04-04,Mumbai,Theft,17,34.053708702132774,-118.24487874064582
2022-04-04,Mumbai,Assault,12,34.04130366962657,-118.25154761908128
2022-04-04,Mumbai,Vandalism,9,34.04562165446148,-118.23515474772934
2022-04-04,Mumbai,Burglary,6,34.04206684164402,-118.2366881367393
2022-04-05,Mumbai,Theft,9,34.05837874800464,-118.24702637318352
2022-04-05,Mumbai,Assault,3,34.05711542120877,-118.2369925905405
2022-04-05,Mumbai,Vandalism,6,34.04927740238098,-118.23613211320011
2022-04-05,Mumbai,Burglary,3,34.058324687940136,-118.25386683128576
2022-04-06,Mumbai,Theft,15,34.063017667276725,-118.25682219193432
2022-04-06,Mumbai,Assault,2,34.06554903247844,-118.237402501216
